Job_Title,Location,machine_learning,hadoop,tableau,lat,long
Data Scientist – Analytics,FL,0,0,0,27.994402,-81.760254
"Data Scientist, Junior",VA,1,0,1,44,-72.699997
Data Scientist (Zillow Offers),WA,1,0,1,47.751076,-120.740135
Data Scientist,IL,1,0,0,40,-89
Data Scientist 2,WA,0,1,0,47.751076,-120.740135
Data Scientist,NJ,0,0,0,39.833851,-74.871826
DATA SCIENTIST,CA,0,0,0,36.778259,-119.417931
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,MN,1,0,0,45.376584,-68.972168
Data Scientist,MN,1,0,0,45.376584,-68.972168
Data Scientist,NY,1,1,0,43,-75
Data Scientist,MI,0,0,0,44.182205,-84.506836
Data Scientist I,WI,1,0,1,44.5,-89.5
Data Scientist - Innovation,VA,1,0,0,44,-72.699997
"Data Scientist, Junior",VA,1,0,1,44,-72.699997
"Data Scientist, Junior",VA,1,0,1,44,-72.699997
Data Scientist,MA,0,1,1,45.376584,-68.972168
Data Scientist,VA,1,0,0,44,-72.699997
DATA SCIENTIST,CA,0,0,0,36.778259,-119.417931
Data Scientist,MN,1,0,0,45.376584,-68.972168
Data Scientist,NY,1,0,0,43,-75
Data Scientist,WA,1,0,0,47.751076,-120.740135
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist,MD,0,1,0,39.045753,-76.641273
Data Scientist,IL,1,1,0,40,-89
Data Scientist,OH,1,1,0,40.367474,-82.996216
Data Scientist,NC,1,0,0,35.782169,-80.793457
Data Scientist,IL,1,0,0,40,-89
Data Scientist - Artificial Intelligence,IL,1,0,0,40,-89
Data Scientist,DE,1,0,0,39,-75.5
Data Scientist,MO,1,0,0,38.573936,-92.60376
Data Scientist,CO,1,0,0,39.113014,-105.358887
Data Scientist,TX,1,1,1,31,-100
Data Scientist,CT,0,0,0,41.599998,-72.699997
Data Scientist,WA,0,1,0,47.751076,-120.740135
New Graduate Data Scientist,IN,1,1,0,40.273502,-86.126976
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist 2,WA,1,0,0,47.751076,-120.740135
Data Scientist,WA,0,1,0,47.751076,-120.740135
Data Scientist,TX,1,0,0,31,-100
Data Scientist - Summer Intern - University Students,MA,0,0,0,45.376584,-68.972168
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist,GA,0,0,0,33.247875,-83.441162
Associate Safety Data Scientist,IL,0,0,0,40,-89
New Graduate Data Scientist,NC,1,1,0,35.782169,-80.793457
Data Scientist,IL,0,0,0,40,-89
Data Scientist,TX,1,0,1,31,-100
Data Scientist,OH,1,0,0,40.367474,-82.996216
Data Scientist,MA,1,0,0,45.376584,-68.972168
Data Scientist I Information Services,IL,0,0,0,40,-89
Data Scientist (Decision Science),WA,0,0,1,47.751076,-120.740135
Data Scientist,CA,0,0,1,36.778259,-119.417931
Data Scientist,NY,0,0,0,43,-75
Data Scientist,GA,1,0,0,33.247875,-83.441162
Junior Data Scientist,VA,0,0,0,44,-72.699997
Data Scientist,AZ,0,0,0,34.048927,-11.093735
Data Scientist/Statistician,AZ,0,0,0,34.048927,-11.093735
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,CA,1,0,0,36.778259,-119.417931
Senior Data Scientist,CO,1,0,0,39.113014,-105.358887
Staff Data Scientist,AR,1,1,0,34.799999,-92.199997
Data Scientist,DC,1,0,1,47.751076,-120.740135
Data Scientist,CA,1,1,0,36.778259,-119.417931
Senior Data Scientist,OR,1,0,0,44,-120.5
Data Scientist,VA,1,0,0,44,-72.699997
Data Scientist,IL,1,0,0,40,-89
Data Scientist,TX,0,0,0,31,-100
Data Scientist,SC,1,0,1,33.836082,-81.163727
Data Scientist,IL,1,1,1,40,-89
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist I,IL,1,0,0,40,-89
Data Scientist,NJ,1,0,0,39.833851,-74.871826
Data Scientist,VA,1,0,0,44,-72.699997
Data Scientist,CA,0,0,0,36.778259,-119.417931
Data Scientist I,AZ,1,0,0,34.048927,-11.093735
DATA SCIENTIST,VA,1,0,0,44,-72.699997
DATA SCIENTIST,CA,0,0,0,36.778259,-119.417931
Data Scientist,VA,1,0,0,44,-72.699997
Data Scientist,HI,1,0,1,19.741755,-155.844437
DATA SCIENTIST,CA,0,0,0,36.778259,-119.417931
Director - Data Scientist,NV,0,0,0,39.876019,-117.224121
Intermediate Data Scientist,TX,1,0,0,31,-100
Senior Data Scientist,NJ,1,0,0,39.833851,-74.871826
Associate Data Scientist,NJ,0,0,0,39.833851,-74.871826
Data Scientist,FL,1,1,0,27.994402,-81.760254
Data Scientist,CA,1,0,0,36.778259,-119.417931
Data Scientist,TX,1,0,1,31,-100
