Location,job_type,sql,sas,spark,java,r,lat,long
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
CO,data_scientist,1,0,1,1,1,39.113014,-105.358887
OH,data_scientist,0,0,0,0,0,40.367474,-82.996216
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
MO,data_scientist,0,0,0,1,1,38.573936,-92.60376
IL,data_scientist,0,0,0,0,0,40,-89
MI,data_scientist,0,0,0,0,1,44.182205,-84.506836
KS,data_scientist,1,0,0,1,1,38.5,-98
MA,data_scientist,0,0,1,1,0,45.376584,-68.972168
GA,data_scientist,0,1,0,0,0,33.247875,-83.441162
FL,data_scientist,1,0,1,1,1,27.994402,-81.760254
VA,data_scientist,0,0,0,1,1,37.926868,-68.024902
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
IL,data_scientist,0,0,0,0,1,40,-89
WA,data_scientist,0,0,1,0,0,47.751076,-120.740135
NJ,data_scientist,0,0,0,1,1,39.833851,-74.871826
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
CA,data_scientist,0,0,1,0,0,36.778259,-119.417931
MN,data_scientist,0,1,0,0,1,46.39241,-94.63623
MN,data_scientist,0,0,0,0,0,46.39241,-94.63623
NY,data_scientist,0,0,0,0,0,43,-75
MI,data_scientist,0,0,0,0,1,44.182205,-84.506836
WI,data_scientist,1,1,0,0,1,44.5,-89.5
VA,data_scientist,1,0,0,0,0,37.926868,-68.024902
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
MA,data_scientist,1,1,0,0,1,45.376584,-68.972168
VA,data_scientist,0,0,1,0,0,37.926868,-68.024902
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
MN,data_scientist,0,1,0,0,1,46.39241,-94.63623
NY,data_scientist,0,0,0,0,0,43,-75
WA,data_scientist,0,1,0,0,1,47.751076,-120.740135
CA,data_scientist,1,0,1,0,1,36.778259,-119.417931
MD,data_scientist,0,0,1,1,0,39.045753,-76.641273
IL,data_scientist,0,0,1,0,1,40,-89
OH,data_scientist,1,0,0,0,1,40.367474,-82.996216
NC,data_scientist,1,0,1,0,1,35.782169,-80.793457
IL,data_scientist,0,1,0,0,1,40,-89
IL,data_scientist,0,0,0,1,1,40,-89
DE,data_scientist,1,0,0,0,1,39,-75.5
MO,data_scientist,0,0,0,0,1,38.573936,-92.60376
CO,data_scientist,0,0,0,0,1,39.113014,-105.358887
TX,data_scientist,1,0,0,0,0,31,-100
CT,data_scientist,0,0,0,0,0,41.599998,-72.699997
WA,data_scientist,0,0,0,0,1,47.751076,-120.740135
IN,data_scientist,1,0,1,1,1,40.273502,-86.126976
VA,data_scientist,1,0,0,1,0,37.926868,-68.024902
WA,data_scientist,0,0,0,0,0,47.751076,-120.740135
WA,data_scientist,1,0,1,1,1,47.751076,-120.740135
TX,data_scientist,1,1,0,1,1,31,-100
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
VA,data_scientist,0,0,0,1,1,37.926868,-68.024902
VA,data_scientist,1,1,0,0,1,37.926868,-68.024902
GA,data_scientist,0,0,0,0,1,33.247875,-83.441162
IL,data_scientist,0,0,0,0,0,40,-89
NC,data_scientist,1,0,1,1,1,35.782169,-80.793457
IL,data_scientist,1,0,0,0,0,40,-89
TX,data_scientist,1,0,0,0,1,31,-100
OH,data_scientist,1,1,0,0,0,40.367474,-82.996216
MA,data_scientist,0,0,0,0,0,45.376584,-68.972168
IL,data_scientist,1,1,0,0,0,40,-89
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
CA,data_scientist,0,0,0,0,0,36.778259,-119.417931
NY,data_scientist,1,0,1,0,1,43,-75
GA,data_scientist,0,0,0,1,0,33.247875,-83.441162
VA,data_scientist,0,0,0,0,1,37.926868,-68.024902
AZ,data_scientist,1,1,0,0,1,34.048927,-11.093735
AZ,data_scientist,1,0,0,0,1,34.048927,-11.093735
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
CO,data_scientist,0,0,0,1,1,39.113014,-105.358887
AR,data_scientist,0,0,0,1,1,34.048927,-11.093735
DC,data_scientist,0,0,0,0,1,47.751076,-120.740135
CA,data_scientist,1,0,1,1,1,36.778259,-119.417931
OR,data_scientist,0,0,0,0,0,44,-120.5
VA,data_scientist,1,0,0,1,1,37.926868,-68.024902
IL,data_scientist,1,0,0,0,1,40,-89
TX,data_scientist,0,0,0,0,0,31,-100
SC,data_scientist,0,1,0,0,1,33.836082,-81.163727
IL,data_scientist,1,0,1,0,1,40,-89
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
IL,data_scientist,0,0,1,1,1,40,-89
NJ,data_scientist,0,0,0,0,0,39.833851,-74.871826
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
AZ,data_scientist,0,0,0,0,0,34.048927,-11.093735
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
VA,data_scientist,0,0,1,0,0,37.926868,-68.024902
HI,data_scientist,1,0,0,1,1,19.741755,-155.844437
CA,data_scientist,1,1,0,0,1,36.778259,-119.417931
NV,data_scientist,0,0,0,0,0,39.876019,-117.224121
TX,data_scientist,0,0,0,0,0,31,-100
NJ,data_scientist,1,0,0,0,1,39.833851,-74.871826
NJ,data_scientist,1,0,0,0,1,39.833851,-74.871826
FL,data_scientist,0,0,0,0,1,27.994402,-81.760254
CA,data_scientist,0,0,0,1,0,36.778259,-119.417931
TX,data_scientist,1,0,0,1,1,31,-100
CA,data_scientist,1,1,0,1,1,36.778259,-119.417931
VA,data_scientist,1,0,0,0,1,37.926868,-68.024902
MA,data_scientist,0,0,1,0,1,45.376584,-68.972168
IL,data_scientist,0,0,0,0,0,40,-89
CO,data_scientist,0,0,0,0,0,39.113014,-105.358887
HI,data_scientist,1,0,0,1,1,19.741755,-155.844437
WA,data_scientist,0,0,0,0,0,47.751076,-120.740135
CA,data_scientist,1,0,0,0,1,36.778259,-119.417931
MI,data_scientist,1,1,0,1,1,44.182205,-84.506836
NY,data_scientist,1,0,0,1,0,43,-75
VA,data_scientist,0,0,1,0,0,37.926868,-68.024902
MI,data_scientist,1,1,0,0,1,44.182205,-84.506836
MI,data_scientist,1,1,0,0,1,44.182205,-84.506836
TX,data_scientist,0,0,1,1,1,31,-100
VA,data_scientist,0,0,0,0,0,37.926868,-68.024902
VA,data_scientist,1,0,1,1,1,37.926868,-68.024902
IN,data_scientist,0,0,0,0,1,40.273502,-86.126976
WA,data_scientist,1,0,0,0,1,47.751076,-120.740135
MO,data_scientist,1,0,0,1,1,38.573936,-92.60376
TX,data_scientist,1,1,0,0,1,31,-100
